exportador_anon;cnpj_anon;porte_do_exportador;descricao_da_operacao;uf;pais_destino_das_exportacoes;numero_da_operacao_anon;data_da_contratacao;moeda_sigla;fonte_de_recursos_desembolsos;custo_financeiro;setor_subsetor_de_atividade;area_operacional;modalidade_de_apoio;forma_de_apoio;produto;modalidade_operacional;mutuario;categoria;situacao_da_operacao;tipo_de_garantia
Exportador_19;7ac6d1f701b4ad9f4af4af0b488e3b837bfc852df6e335297adb9196a034603e;GRANDE;Exportação de bens;SP;REPUBLICA DOMINICANA;08XXX13;2002-05-16;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;COMERCIO/SERVICOS/COMERCIO POR ATACADO, EXCETO VEICULOS AUTOMOTORES E MOTOCICLETAS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Buyer;Ente público;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_12;6bd892bb8c177813ecc28bf68825b6ee4b4cf7c905f1feb6d1afd29727ccb259;GRANDE;Exportação de bens;RS;PERU;09XXX66;2002-05-20;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_10;684927213dee296a740af4649a71273111d90a960c6a16c3bd34fbad4cc85a45;GRANDE;Exportação de bens;SP;PERU;07XXX10;2002-05-20;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_3;13324c38e553836e3228fa6dbf84570917174c054e0fb9ca9af7f4091390e88e;GRANDE;Exportação de bens;SC;ESTADOS UNIDOS;07XXX09;2002-05-27;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/METALURGIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_20;0e9ce0306acc32d7393de6545f97f28376bf8ac9bab8fa8a1663bd1f0aef2dd2;GRANDE;Exportação de bens;SP;PERU;09XXX88;2002-06-03;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_10;684927213dee296a740af4649a71273111d90a960c6a16c3bd34fbad4cc85a45;GRANDE;Exportação de bens;SP;PERU;07XXX10;2002-06-04;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_19;7ac6d1f701b4ad9f4af4af0b488e3b837bfc852df6e335297adb9196a034603e;GRANDE;Exportação de bens;SP;REPUBLICA DOMINICANA;09XXX22;2002-06-06;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Buyer;Ente público;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_21;8e4a0b59677314f6510b0954df92317af3bd6c1ae05a825a87490a8f9e1c369c;GRANDE;Exportação de bens;RS;ARGENTINA;09XXX49;2002-06-07;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_22;61541b2438007ab770d7c62962a33691c9dd4435ccf144ea6d521686538236df;GRANDE;Exportação de bens;SP;ARGENTINA;06XXX89;2002-06-11;US$ COMPRA;FAT CAMBIAL;Taxa flutuante em moeda estrangeira LIBOR 12;INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_22;61541b2438007ab770d7c62962a33691c9dd4435ccf144ea6d521686538236df;GRANDE;Exportação de bens;SP;ARGENTINA;06XXX89;2002-06-11;US$ COMPRA;FAT CAMBIAL;Taxa flutuante em moeda estrangeira LIBOR 12;INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
